run,x,xerr,yvals_fproj,yerr_fproj,yvals_blambda,yerr_blambda
0,8.5734,0.0746,0.4059,0.0050,0.1594,0.0052
0,23.5357,0.2143,0.2634,0.0148,0.1027,0.0142
0,32.1049,0.3736,0.2404,0.0197,0.0981,0.0197
0,43.0942,0.6267,0.2205,0.0334,0.1101,0.0312
0,58.7459,1.3232,0.1344,0.0179,0.0401,0.0142
0,89.2204,7.4550,0.1354,0.0297,0.0535,0.0261
1,8.6612,0.0762,0.3873,0.0062,0.1571,0.0054
1,23.3837,0.2080,0.2610,0.0180,0.1269,0.0168
1,32.3088,0.3887,0.2523,0.0254,0.1352,0.0246
1,42.8864,0.6837,0.2137,0.0379,0.1287,0.0340
1,58.0147,1.4207,0.1226,0.0182,0.0573,0.0160
1,79.1361,3.2243,0.1191,0.0319,0.0583,0.0263
2,8.7938,0.0433,0.5021,0.0031,0.1305,0.0035
2,23.2589,0.1102,0.3441,0.0096,0.0683,0.0107
2,32.2546,0.2003,0.2986,0.0123,0.0547,0.0126
2,42.8757,0.3333,0.2638,0.0183,0.0482,0.0194
2,56.6916,0.7549,0.2178,0.0167,0.0239,0.0157
2,83.6904,2.7530,0.2124,0.0363,0.0675,0.0408
3,8.8364,0.0441,0.4943,0.0035,0.1334,0.0034
3,23.2820,0.1110,0.3397,0.0104,0.0815,0.0110
3,31.9882,0.1998,0.3063,0.0136,0.0781,0.0135
3,42.3399,0.3407,0.2525,0.0187,0.0524,0.0190
3,57.4042,0.7369,0.2063,0.0175,0.0314,0.0157
3,86.8531,3.4727,0.2067,0.0417,0.0771,0.0459
